timestamp,player,skill,rank,level,xp
2026-08-26T01:17:56.837258,Darallax,Farming,-1,35,22900
2026-08-26T01:17:56.837260,Darallax,Runecraft,518328,77,1477033
2026-08-26T01:17:56.837262,Darallax,Hunter,-1,14,2313
2026-08-26T01:17:56.837266,Darallax,Construction,-1,21,5622
2026-08-26T01:17:56.837268,Darallax,Sailing,814894,17,3317
2026-08-27T06:30:35.771795,Mas120,Overall,1424885,1566,20690507
2026-08-27T06:30:35.771810,Mas120,Attack,1915571,72,916665
2026-08-27T06:30:35.771813,Mas120,Defence,1729234,72,902491
2026-08-27T06:30:35.771816,Mas120,Strength,1578165,84,3060437
2026-08-27T06:30:35.771818,Mas120,Hitpoints,1853692,80,2045654
2026-08-27T06:30:35.771820,Mas120,Ranged,-1,74,1159474
2026-08-27T06:30:35.771822,Mas120,Prayer,1364897,70,764820
2026-08-27T06:30:35.771825,Mas120,Magic,-1,68,646813
2026-08-27T06:30:35.771827,Mas120,Cooking,1836215,70,758506
2026-08-27T06:30:35.771829,Mas120,Woodcutting,1395498,72,972538
2026-08-27T06:30:35.771831,Mas120,Fletching,1548364,68,651880
2026-08-27T06:30:35.771833,Mas120,Fishing,1512876,69,696443
2026-08-27T06:30:35.771835,Mas120,Firemaking,-1,51,116530
2026-08-27T06:30:35.771837,Mas120,Crafting,1662698,65,491376
2026-08-27T06:30:35.771839,Mas120,Smithing,-1,52,131424
2026-08-27T06:30:35.771843,Mas120,Mining,1100631,75,1210501
2026-08-27T06:30:35.771845,Mas120,Herblore,1551849,58,234779
2026-08-27T06:30:35.771847,Mas120,Agility,1351356,70,790046
2026-08-27T06:30:35.771849,Mas120,Thieving,780086,76,1357330
2026-08-27T06:30:35.771851,Mas120,Slayer,1830881,58,236168
2026-08-27T06:30:35.771853,Mas120,Farming,931592,79,1925607
2026-08-27T06:30:35.771855,Mas120,Runecraft,1335523,56,185442
2026-08-27T06:30:35.771857,Mas120,Hunter,775738,75,1316322
2026-08-27T06:30:35.771859,Mas120,Construction,1626827,51,119261
2026-08-27T06:30:35.771861,Mas120,Sailing,-1,1,0
2026-08-27T06:30:36.773207,MrBSvenB,Overall,1192207,1686,39395499
2026-08-27T06:30:36.773221,MrBSvenB,Attack,998023,86,3680243
2026-08-27T06:30:36.773224,MrBSvenB,Defence,978760,85,3259667
2026-08-27T06:30:36.773226,MrBSvenB,Strength,1058289,93,7549003
2026-08-27T06:30:36.773228,MrBSvenB,Hitpoints,1202852,91,5996023
2026-08-27T06:30:36.773230,MrBSvenB,Ranged,1388224,85,3298439
2026-08-27T06:30:36.773232,MrBSvenB,Prayer,1519810,70,739708
2026-08-27T06:30:36.773234,MrBSvenB,Magic,1998983,75,1268030
2026-08-27T06:30:36.773237,MrBSvenB,Cooking,1916301,70,747814
2026-08-27T06:30:36.773239,MrBSvenB,Woodcutting,1601384,71,815416
2026-08-27T06:30:36.773241,MrBSvenB,Fletching,1431066,70,747763
2026-08-27T06:30:36.773243,MrBSvenB,Fishing,1584004,68,623533
2026-08-27T06:30:36.773245,MrBSvenB,Firemaking,-1,52,127617
2026-08-27T06:30:36.773247,MrBSvenB,Crafting,958021,75,1327637
2026-08-27T06:30:36.773249,MrBSvenB,Smithing,1971407,56,186380
2026-08-27T06:30:36.773251,MrBSvenB,Mining,782822,80,2080936
2026-08-27T06:30:36.773256,MrBSvenB,Herblore,1356686,63,369855
2026-08-27T06:30:36.773258,MrBSvenB,Agility,1575463,68,630606
2026-08-27T06:30:36.773260,MrBSvenB,Thieving,1276506,67,580660
2026-08-27T06:30:36.773263,MrBSvenB,Slayer,-1,50,106960
2026-08-27T06:30:36.773265,MrBSvenB,Farming,709601,86,3662472
2026-08-27T06:30:36.773267,MrBSvenB,Runecraft,1694362,44,60675
2026-08-27T06:30:36.773269,MrBSvenB,Hunter,847502,74,1152554
2026-08-27T06:30:36.773271,MrBSvenB,Construction,1356744,61,314389
2026-08-27T06:30:36.773273,MrBSvenB,Sailing,606814,46,69119
2026-08-27T06:30:38.146265,Phome1,Overall,927820,1811,51203605
2026-08-27T06:30:38.146283,Phome1,Attack,896907,89,5027507
2026-08-27T06:30:38.146289,Phome1,Defence,1125288,81,2250578
2026-08-27T06:30:38.146291,Phome1,Strength,1016830,94,8209475
2026-08-27T06:30:38.146294,Phome1,Hitpoints,1174320,91,6293551
2026-08-27T06:30:38.146296,Phome1,Ranged,1437068,84,3024247
2026-08-27T06:30:38.146298,Phome1,Prayer,1355177,70,767483
2026-08-27T06:30:38.146300,Phome1,Magic,1728544,79,1895324
2026-08-27T06:30:38.146302,Phome1,Cooking,1300088,74,1146246
2026-08-27T06:30:38.146304,Phome1,Woodcutting,773631,81,2410702
2026-08-27T06:30:38.146306,Phome1,Fletching,1746547,64,439568
2026-08-27T06:30:38.146311,Phome1,Fishing,1422660,70,752633
2026-08-27T06:30:38.146313,Phome1,Firemaking,1813425,67,604302
2026-08-27T06:30:38.146315,Phome1,Crafting,834758,78,1687109
2026-08-27T06:30:38.146317,Phome1,Smithing,1654458,63,390400
2026-08-27T06:30:38.146319,Phome1,Mining,651047,83,2707274
2026-08-27T06:30:38.146323,Phome1,Herblore,1211405,68,656563
2026-08-27T06:30:38.146325,Phome1,Agility,1234320,71,864275
2026-08-27T06:30:38.146327,Phome1,Thieving,735652,77,1477333
2026-08-27T06:30:38.146329,Phome1,Slayer,1689859,62,337178
2026-08-27T06:30:38.146331,Phome1,Farming,503488,92,7015612
2026-08-27T06:30:38.146333,Phome1,Runecraft,1028145,62,340756
2026-08-27T06:30:38.146335,Phome1,Hunter,682362,77,1619973
2026-08-27T06:30:38.146337,Phome1,Construction,952883,72,937077
2026-08-27T06:30:38.146340,Phome1,Sailing,417515,62,348439
2026-08-27T06:30:39.545125,Darallax,Overall,1852176,1352,11800227
2026-08-27T06:30:39.545139,Darallax,Attack,-1,70,759676
2026-08-27T06:30:39.545142,Darallax,Defence,-1,70,738492
2026-08-27T06:30:39.545144,Darallax,Strength,1858267,80,1990806
2026-08-27T06:30:39.545151,Darallax,Hitpoints,-1,76,1462018
2026-08-27T06:30:39.545153,Darallax,Ranged,-1,62,365632
2026-08-27T06:30:39.545155,Darallax,Prayer,-1,50,103339
2026-08-27T06:30:39.545157,Darallax,Magic,-1,70,794505
2026-08-27T06:30:39.545160,Darallax,Cooking,-1,60,296831
2026-08-27T06:30:39.545162,Darallax,Woodcutting,-1,62,361775
2026-08-27T06:30:39.545164,Darallax,Fletching,-1,60,274299
2026-08-27T06:30:39.545166,Darallax,Fishing,-1,62,351930
2026-08-27T06:30:39.545168,Darallax,Firemaking,-1,42,47290
2026-08-27T06:30:39.545170,Darallax,Crafting,1802673,63,374312
2026-08-27T06:30:39.545172,Darallax,Smithing,1808946,60,275870
2026-08-27T06:30:39.545174,Darallax,Mining,1348955,72,908245
